timestamp,count,temp,tempf,humidity,wind_speed,weather_code,is_holiday,is_weekend,season,month,day,hour
1/4/15 0:00,5.209486153,3,2,93,6,2,0,1,3,1,4,0
1/4/15 1:00,4.934473933,3,2.5,93,5,0,0,1,3,1,4,1
1/4/15 2:00,4.905274778,2.5,2.5,96.5,0,0,0,1,3,1,4,2
1/4/15 3:00,4.290459441,2,2,100,0,0,0,1,3,1,4,3
1/4/15 4:00,3.871201011,2,0,93,6.5,0,0,1,3,1,4,4
1/4/15 5:00,3.850147602,2,2,93,4,0,0,1,3,1,4,5
1/4/15 6:00,3.951243719,1,-1,100,7,3,0,1,3,1,4,6
1/4/15 7:00,4.33073334,1,-1,100,7,3,0,1,3,1,4,7
1/4/15 8:00,4.882801923,1.5,-1,96.5,8,3,0,1,3,1,4,8
1/4/15 9:00,5.710427017,2,-0.5,100,9,2,0,1,3,1,4,9
1/4/15 10:00,6.270988432,3,-0.5,93,12,2,0,1,3,1,4,10
1/4/15 11:00,6.590301048,2,-1.5,100,12,2,0,1,3,1,4,11
1/4/15 12:00,6.760414691,2,-1.5,96.5,13,3,0,1,3,1,4,12
1/4/15 13:00,6.821107472,3,-0.5,87,15,2,0,1,3,1,4,13
1/4/15 14:00,6.946975992,2.5,0,90,8,2,0,1,3,1,4,14
1/4/15 15:00,6.768493212,2,-1.5,93,11,2,0,1,3,1,4,15
1/4/15 16:00,6.603943825,3,0,93,12,2,0,1,3,1,4,16
1/4/15 17:00,6.388561406,3,0,93,11,2,0,1,3,1,4,17
1/4/15 18:00,6.259581464,3,1.5,93,6.5,2,0,1,3,1,4,18
1/4/15 19:00,5.940171253,3,1,93,7,2,0,1,3,1,4,19
1/4/15 20:00,5.796057751,3,3,93,4,2,0,1,3,1,4,20
1/4/15 21:00,5.402677382,3,2.5,93,5,3,0,1,3,1,4,21
1/4/15 22:00,5.187385806,3,2,93,6,3,0,1,3,1,4,22
1/4/15 23:00,5.062595033,4,3.5,87,5,3,0,1,3,1,4,23
1/5/15 0:00,4.430816799,4,3,93,6,3,0,0,3,1,5,0
1/5/15 1:00,4.219507705,4,3.5,93,5,3,0,0,3,1,5,1
1/5/15 2:00,3.496507561,5,4,87,6,3,0,0,3,1,5,2
1/5/15 3:00,3.135494216,6,4.5,84,7.5,3,0,0,3,1,5,3
1/5/15 4:00,3.663561646,6.5,5,84,8,3,0,0,3,1,5,4
1/5/15 5:00,4.406719247,6,5.5,87,5,3,0,0,3,1,5,5
1/5/15 6:00,6.098074282,7,6.5,81,5,2,0,0,3,1,5,6
1/5/15 7:00,7.376508126,7,6,81,6.5,2,0,0,3,1,5,7
1/5/15 8:00,8.058960018,8,7.5,79,5,2,0,0,3,1,5,8
1/5/15 9:00,7.202661197,8,7,82,6,2,0,0,3,1,5,9
1/5/15 10:00,6.343880434,9,8,84.5,6.5,2,0,0,3,1,5,10
1/5/15 11:00,6.371611847,9,7.5,90.5,10,2,0,0,3,1,5,11
1/5/15 12:00,6.637258031,10,8,85,11,2,0,0,3,1,5,12
1/5/15 13:00,6.773080376,10,8.5,82,10,2,0,0,3,1,5,13
1/5/15 14:00,6.51174533,10,9,82,9,2,0,0,3,1,5,14
1/5/15 15:00,6.694562059,10,8.5,79,10,2,0,0,3,1,5,15
1/5/15 16:00,7.084226422,10,8.5,73.5,13,2,0,0,3,1,5,16
1/5/15 17:00,7.923710334,9.5,7.5,73.5,12,2,0,0,3,1,5,17
1/5/15 18:00,7.779048645,9.5,7.5,69,14,2,0,0,3,1,5,18
1/5/15 19:00,7.150701458,9,6.5,71,14,2,0,0,3,1,5,19
1/5/15 20:00,6.546785411,9,7,71,14,2,0,0,3,1,5,20
1/5/15 21:00,6.021023349,9,7,71,11,2,0,0,3,1,5,21
1/5/15 22:00,5.783825182,9,7.5,71,10,3,0,0,3,1,5,22
1/5/15 23:00,5.262690189,8.5,7.5,73.5,8,3,0,0,3,1,5,23
1/6/15 0:00,4.521788577,8,6.5,76,8,3,0,0,3,1,6,0
1/6/15 1:00,4.304065093,8,6.5,76,8,3,0,0,3,1,6,1
1/6/15 2:00,3.526360525,8,6,76,11,3,0,0,3,1,6,2
1/6/15 3:00,2.995732274,8,5.5,76,14,3,0,0,3,1,6,3
1/6/15 4:00,3.713572067,8.5,6.5,73.5,11,3,0,0,3,1,6,4
1/6/15 5:00,4.317488114,8,5.5,82,14,3,0,0,3,1,6,5
1/6/15 6:00,6.274762021,8,5,84.5,15,2,0,0,3,1,6,6
1/6/15 7:00,7.44775128,9,7,82,13,2,0,0,3,1,6,7
1/6/15 8:00,8.170468578,9,7,82,12,7,0,0,3,1,6,8
1/6/15 9:00,7.361375429,9,6.5,87,16,7,0,0,3,1,6,9
1/6/15 10:00,6.455198563,10,7.5,88,19.5,2,0,0,3,1,6,10
1/6/15 11:00,6.311734809,10,8,88,18,2,0,0,3,1,6,11
1/6/15 12:00,5.981414211,11,11,85,19,7,0,0,3,1,6,12
1/6/15 13:00,6.056784013,9.5,6,84.5,27.5,2,0,0,3,1,6,13
1/6/15 14:00,6.363028104,9,6,71,26,2,0,0,3,1,6,14
1/6/15 15:00,6.577861358,8,4.5,71,23,1,0,0,3,1,6,15
1/6/15 16:00,7.077498054,8,5,68.5,19.5,1,0,0,3,1,6,16
1/6/15 17:00,7.887208586,7.5,4,71,22,0,0,0,3,1,6,17
1/6/15 18:00,7.867488569,7,4,71,17.5,0,0,0,3,1,6,18
1/6/15 19:00,7.24636808,6,3,76,15,0,0,0,3,1,6,19
1/6/15 20:00,6.580639137,5.5,2.5,78.5,15,0,0,0,3,1,6,20
1/6/15 21:00,6.204557763,5,2,81,15,0,0,0,3,1,6,21
1/6/15 22:00,5.843544417,4.5,1.5,81,13,0,0,0,3,1,6,22
1/6/15 23:00,5.361292166,4,1,84,12,0,0,0,3,1,6,23
1/7/15 0:00,4.634728988,4,1,81,12,0,0,0,3,1,7,0
1/7/15 1:00,4.110873864,4,1,81,11,0,0,0,3,1,7,1
1/7/15 2:00,3.526360525,4,1.5,81,10,0,0,0,3,1,7,2
1/7/15 3:00,3.295836866,3.5,1,84,9,1,0,0,3,1,7,3
1/7/15 4:00,3.526360525,4,1.5,81,10,1,0,0,3,1,7,4
1/7/15 5:00,4.394449155,4,2,87,9,0,0,0,3,1,7,5
1/7/15 6:00,6.267200549,5,2.5,81,10,0,0,0,3,1,7,6
1/7/15 7:00,7.471932078,5.5,2.5,81,13,0,0,0,3,1,7,7
1/7/15 8:00,8.193953024,6.5,3.5,81,15,1,0,0,3,1,7,8
1/7/15 9:00,7.44716836,8,5,76,19,2,0,0,3,1,7,9
1/7/15 10:00,6.638567789,8,5,82,19.5,1,0,0,3,1,7,10
1/7/15 11:00,6.538139824,9,6,76,21,1,0,0,3,1,7,11
1/7/15 12:00,6.817830571,9,5.5,76,27,1,0,0,3,1,7,12
1/7/15 13:00,6.89060912,9.5,6,71.5,28,1,0,0,3,1,7,13
1/7/15 14:00,6.66440902,10,6.5,62,28.5,1,0,0,3,1,7,14
1/7/15 15:00,6.678342115,9,6,68.5,25,1,0,0,3,1,7,15
1/7/15 16:00,7.06646697,9,6,76,25,2,0,0,3,1,7,16
1/7/15 17:00,7.881559917,9.5,6.5,71.5,24,2,0,0,3,1,7,17
1/7/15 18:00,7.855544678,10,7,71,30,2,0,0,3,1,7,18
1/7/15 20:00,6.489204931,10,6.5,79,30.5,2,0,0,3,1,7,20
1/7/15 21:00,6.248042875,10,7,82,27,7,0,0,3,1,7,21
1/7/15 22:00,6.02827852,10,7,82,27,7,0,0,3,1,7,22
1/7/15 23:00,5.332718793,10,7,85,24,7,0,0,3,1,7,23
1/8/15 0:00,4.820281566,11,11,82,26,3,0,0,3,1,8,0
1/8/15 1:00,4.043051268,11.5,11.5,85,24,2,0,0,3,1,8,1
1/8/15 2:00,3.951243719,12,12,82,25,2,0,0,3,1,8,2
1/8/15 3:00,3.526360525,12,12,85,22,2,0,0,3,1,8,3
1/8/15 4:00,3.496507561,12,12,88,20.5,7,0,0,3,1,8,4
1/8/15 5:00,4.477336814,12,12,80,20.5,7,0,0,3,1,8,5
1/8/15 6:00,6.238324625,11.5,11.5,74.5,17,2,0,0,3,1,8,6
1/8/15 7:00,6.89060912,10.5,9.5,82.5,17,7,0,0,3,1,8,7
1/8/15 8:00,7.11395611,9.5,7.5,87.5,14,7,0,0,3,1,8,8
1/8/15 9:00,6.352629396,9,7,87,13,7,0,0,3,1,8,9
1/8/15 10:00,5.225746674,9,7,87,14,7,0,0,3,1,8,10
1/8/15 11:00,5.267858159,9,6,82,20.5,7,0,0,3,1,8,11
1/8/15 12:00,6.259581464,9,6.5,84.5,17,1,0,0,3,1,8,12
1/8/15 13:00,6.51174533,9,5.5,79,27,1,0,0,3,1,8,13
1/8/15 14:00,6.635946556,10,7,71,22,1,0,0,3,1,8,14
1/8/15 15:00,6.661854741,9,6,71,22,1,0,0,3,1,8,15
1/8/15 16:00,7.100851909,9,6,71,19.5,1,0,0,3,1,8,16
1/8/15 17:00,7.763021309,9,6,76,22,1,0,0,3,1,8,17
1/8/15 18:00,7.654917048,8.5,5.5,73.5,22.5,0,0,0,3,1,8,18
1/8/15 19:00,7.122866659,8,5,73.5,20.5,0,0,0,3,1,8,19
1/8/15 20:00,6.624065228,8,5,76,17,0,0,0,3,1,8,20
1/8/15 21:00,6.126869184,8,4.5,76,20.5,0,0,0,3,1,8,21
1/8/15 22:00,6.049733455,8.5,5.5,73.5,21,0,0,0,3,1,8,22
1/8/15 23:00,5.590986981,9,5.5,76,27,1,0,0,3,1,8,23
1/9/15 0:00,4.997212274,10,7,71,28,1,0,0,3,1,9,0
1/9/15 1:00,4.110873864,10,7,73.5,30,7,0,0,3,1,9,1
1/9/15 2:00,4.189654742,10,6.5,79,29.5,7,0,0,3,1,9,2
1/9/15 3:00,3.761200116,11,11,79.5,29,2,0,0,3,1,9,3
1/9/15 4:00,3.871201011,11,11,85,33,2,0,0,3,1,9,4
1/9/15 5:00,4.454347296,11.5,11.5,85,33,2,0,0,3,1,9,5
1/9/15 6:00,6.091309882,12,12,82,32.5,2,0,0,3,1,9,6
1/9/15 7:00,7.374001859,12,12,82,31.5,2,0,0,3,1,9,7
1/9/15 8:00,8.162231065,12,12,79.5,25,1,0,0,3,1,9,8
1/9/15 9:00,7.478169694,12,12,74.5,30,1,0,0,3,1,9,9
1/9/15 10:00,6.684611728,12.5,12.5,69.5,29.5,0,0,0,3,1,9,10
1/9/15 11:00,6.693323668,13,13,67,28,0,0,0,3,1,9,11
1/9/15 12:00,6.959398512,13,13,67,26,0,0,0,3,1,9,12
